image_path,phrase,attempt,used_sampling,success,sanitized_bbox,parsed_bbox,raw_response
trained_sample_14,Cat on right,1,False,True,"[0.0745, 0.2202, 0.9966, 0.884]","[0.0745, 0.2202, 0.9966, 0.884]","{""x_max"":0.9966,""x_min"":0.0745,""y_max"":0.884,""y_min"":0.2202}"
trained_sample_15,batter,1,False,True,"[0.3378, 0.4006, 0.7092, 0.8444]","[0.3378, 0.4006, 0.7092, 0.8444]","{""x_max"":0.7092,""x_min"":0.3378,""y_max"":0.8444,""y_min"":0.4006}"
trained_sample_16,man with brown shirt and hand on hip,1,False,True,"[0.224, 0.0, 0.452, 0.7249]","[0.224, 0.0, 0.452, 0.7249]","{""x_max"":0.452,""x_min"":0.224,""y_max"":0.7249,""y_min"":0.00}"
trained_sample_17,"picture of person with glasses, behind the screen",1,False,True,"[0.6502, 0.2646, 0.9759, 0.6744]","[0.6502, 0.2646, 0.9759, 0.6744]","{""x_max"":0.9759,""x_min"":0.6502,""y_max"":0.6744,""y_min"":0.2646}"
trained_sample_18,PIC BEHIND LAPTOP,1,False,True,"[0.4243, 0.2341, 0.7555, 0.5788]","[0.4243, 0.2341, 0.7555, 0.5788]","{""x_max"":0.7555,""x_min"":0.4243,""y_max"":0.5788,""y_min"":0.2341}"
trained_sample_19,second donut in from front middle row,1,False,True,"[0.2702, 0.2247, 0.5983, 0.554]","[0.2702, 0.2247, 0.5983, 0.554]","{""x_max"":0.5983,""x_min"":0.2702,""y_max"":0.554,""y_min"":0.2247}"
trained_sample_20,boy in a red shirt,1,False,True,"[0.0885, 0.162, 0.447, 0.8588]","[0.0885, 0.162, 0.447, 0.8588]","{""x_max"":0.447,""x_min"":0.0885,""y_max"":0.8588,""y_min"":0.162}"
trained_sample_21,left ele,1,False,True,"[0.0, 0.032, 0.497, 0.9519]","[0.0, 0.032, 0.497, 0.9519]","{""x_max"":0.497,""x_min"":0.0,""y_max"":0.9519,""y_min"":0.032}"
trained_sample_22,guy with blue cup,1,False,True,"[0.4243, 0.0026, 0.6872, 0.724]","[0.4243, 0.0026, 0.6872, 0.724]","{""x_max"":0.6872,""x_min"":0.4243,""y_max"":0.724,""y_min"":0.0026}"
trained_sample_23,baby one,1,False,True,"[0.4473, 0.2447, 0.9322, 0.8199]","[0.4473, 0.2447, 0.9322, 0.8199]","{""x_max"":0.9322,""x_min"":0.4473,""y_max"":0.8199,""y_min"":0.2447}"
trained_sample_24,guy in brown shirt with his back to us,1,False,True,"[0.224, 0.0, 0.452, 0.7249]","[0.224, 0.0, 0.452, 0.7249]","{""x_max"":0.452,""x_min"":0.224,""y_max"":0.7249,""y_min"":0.00}"
trained_sample_25,boy in the middle,1,False,True,"[0.2088, 0.2342, 0.5192, 0.8289]","[0.2088, 0.2342, 0.5192, 0.8289]","{""x_max"":0.5192,""x_min"":0.2088,""y_max"":0.8289,""y_min"":0.2342}"
trained_sample_26,broccoli near front with a little sauce on it,1,False,True,"[0.0741, 0.567, 0.7502, 0.8506]","[0.0741, 0.567, 0.7502, 0.8506]","{""x_max"":0.7502,""x_min"":0.0741,""y_max"":0.8506,""y_min"":0.567}"
trained_sample_27,cow in back of other,1,False,True,"[0.0, 0.2202, 0.8255, 1.0]","[0.0, 0.2202, 0.8255, 1.0]","{""x_max"":0.8255,""x_min"":0.0,""y_max"":1.0,""y_min"":0.2202}"
trained_sample_28,batter,1,False,True,"[0.3378, 0.4006, 0.7092, 0.8444]","[0.3378, 0.4006, 0.7092, 0.8444]","{""x_max"":0.7092,""x_min"":0.3378,""y_max"":0.8444,""y_min"":0.4006}"
trained_sample_29,guy petting elephant,1,False,True,"[0.0839, 0.2042, 0.6809, 0.9846]","[0.0839, 0.2042, 0.6809, 0.9846]","{""x_max"":0.6809,""x_min"":0.0839,""y_max"":0.9846,""y_min"":0.2042}"
trained_sample_30,right guy black shirt,1,False,True,"[0.7333, 0.3642, 1.0, 0.9444]","[0.7333, 0.3642, 1.0, 0.9444]","{""x_max"":1.0,""x_min"":0.7333,""y_max"":0.9444,""y_min"":0.3642}"
trained_sample_31,hand on hip,1,False,True,"[0.224, 0.0, 0.452, 0.7249]","[0.224, 0.0, 0.452, 0.7249]","{""x_max"":0.452,""x_min"":0.224,""y_max"":0.7249,""y_min"":0.00}"
trained_sample_32,catcher,1,False,True,"[0.8066, 0.4642, 1.0, 0.9719]","[0.8066, 0.4642, 1.0, 0.9719]","{""x_max"":1.0,""x_min"":0.8066,""y_max"":0.9719,""y_min"":0.4642}"
trained_sample_33,striped shirt of person on right,1,False,True,"[0.6777, 0.0029, 1.0, 0.9849]","[0.6777, 0.0029, 1.0, 0.9849]","{""x_max"":1.0,""x_min"":0.6777,""y_max"":0.9849,""y_min"":0.0029}"
trained_sample_34,far right guy sitting,1,False,True,"[0.7333, 0.3642, 1.0, 0.9444]","[0.7333, 0.3642, 1.0, 0.9444]","{""x_max"":1.0,""x_min"":0.7333,""y_max"":0.9444,""y_min"":0.3642}"
trained_sample_35,far left elephant,1,False,True,"[0.0, 0.032, 0.497, 0.9519]","[0.0, 0.032, 0.497, 0.9519]","{""x_max"":0.497,""x_min"":0.0,""y_max"":0.9519,""y_min"":0.032}"
trained_sample_36,sitting down,1,False,True,"[0.5602, 0.272, 0.7876, 0.854]","[0.5602, 0.272, 0.7876, 0.854]","{""x_max"":0.7876,""x_min"":0.5602,""y_max"":0.854,""y_min"":0.272}"
trained_sample_37,girl in blue top,1,False,True,"[0.3673, 0.4392, 0.4875, 0.9019]","[0.3673, 0.4392, 0.4875, 0.9019]","{""x_max"":0.4875,""x_min"":0.3673,""y_max"":0.9019,""y_min"":0.4392}"
trained_sample_38,"cat, but not in reflection",1,False,True,"[0.0819, 0.2202, 0.9876, 0.8806]","[0.0819, 0.2202, 0.9876, 0.8806]","{""x_max"":0.9876,""x_min"":0.0819,""y_max"":0.8806,""y_min"":0.2202}"
trained_sample_39,smallest elephant,1,False,True,"[0.4473, 0.2449, 0.9322, 0.8199]","[0.4473, 0.2449, 0.9322, 0.8199]","{""x_max"":0.9322,""x_min"":0.4473,""y_max"":0.8199,""y_min"":0.2449}"
trained_sample_40,second donut in the middle,1,False,True,"[0.3043, 0.2222, 0.5972, 0.554]","[0.3043, 0.2222, 0.5972, 0.554]","{""x_max"":0.5972,""x_min"":0.3043,""y_max"":0.554,""y_min"":0.2222}"
trained_sample_41,woman,1,False,True,"[0.2373, 0.2022, 0.5373, 0.814]","[0.2373, 0.2022, 0.5373, 0.814]","{""x_max"":0.5373,""x_min"":0.2373,""y_max"":0.814,""y_min"":0.2022}"
trained_sample_42,right player,1,False,True,"[0.6073, 0.272, 0.7909, 0.8546]","[0.6073, 0.272, 0.7909, 0.8546]","{""x_max"":0.7909,""x_min"":0.6073,""y_max"":0.8546,""y_min"":0.272}"
trained_sample_43,part of cow far left,1,False,True,"[0.0, 0.2145, 0.3515, 1.0]","[0.0, 0.2145, 0.3515, 1.0]","{""x_max"":0.3515,""x_min"":0.0,""y_max"":1.0,""y_min"":0.2145}"
trained_sample_44,GUY STANDNG,1,False,True,"[0.7233, 0.2749, 0.9321, 0.7574]","[0.7233, 0.2749, 0.9321, 0.7574]","{""x_max"":0.9321,""x_min"":0.7233,""y_max"":0.7574,""y_min"":0.2749}"
trained_sample_45,man on right,1,False,True,"[0.4473, 0.0026, 0.6502, 0.6506]","[0.4473, 0.0026, 0.6502, 0.6506]","{""x_max"":0.6502,""x_min"":0.4473,""y_max"":0.6506,""y_min"":0.0026}"
trained_sample_46,"bottom right white tank of motorcycle, u can see its seat",1,False,True,"[0.6706, 0.6229, 0.9976, 0.9566]","[0.6706, 0.6229, 0.9976, 0.9566]","{""x_max"":0.9976,""x_min"":0.6706,""y_max"":0.9566,""y_min"":0.6229}"
trained_sample_47,green shirt,1,False,True,"[0.083, 0.2042, 0.6809, 0.9868]","[0.083, 0.2042, 0.6809, 0.9868]","{""x_max"":0.6809,""x_min"":0.083,""y_max"":0.9868,""y_min"":0.2042}"
trained_sample_48,the batter,1,False,True,"[0.2078, 0.2506, 0.5093, 0.9519]","[0.2078, 0.2506, 0.5093, 0.9519]","{""x_max"":0.5093,""x_min"":0.2078,""y_max"":0.9519,""y_min"":0.2506}"
trained_sample_49,sandwich on left,1,False,True,"[0.0, 0.0026, 0.4595, 0.6702]","[0.0, 0.0026, 0.4595, 0.6702]","{""x_max"":0.4595,""x_min"":0.0,""y_max"":0.6702,""y_min"":0.0026}"
trained_sample_50,man with hat,1,False,True,"[0.2406, 0.1866, 0.677, 0.9889]","[0.2406, 0.1866, 0.677, 0.9889]","{""x_max"":0.677,""x_min"":0.2406,""y_max"":0.9889,""y_min"":0.1866}"
trained_sample_51,girl in the middle,1,False,True,"[0.3673, 0.4382, 0.4875, 0.9016]","[0.3673, 0.4382, 0.4875, 0.9016]","{""x_max"":0.4875,""x_min"":0.3673,""y_max"":0.9016,""y_min"":0.4382}"
trained_sample_52,Elephant at right,1,False,True,"[0.5333, 0.2579, 0.7506, 0.7539]","[0.5333, 0.2579, 0.7506, 0.7539]","{""x_max"":0.7506,""x_min"":0.5333,""y_max"":0.7539,""y_min"":0.2579}"
trained_sample_53,elephant on right,1,False,True,"[0.5333, 0.2597, 0.7502, 0.7539]","[0.5333, 0.2597, 0.7502, 0.7539]","{""x_max"":0.7502,""x_min"":0.5333,""y_max"":0.7539,""y_min"":0.2597}"
trained_sample_54,the woman using the cell phone,1,False,True,"[0.2146, 0.4849, 0.687, 1.0]","[0.2146, 0.4849, 0.687, 1.0]","{""x_max"":0.687,""x_min"":0.2146,""y_max"":1.0,""y_min"":0.4849}"
trained_sample_55,man in chair on right,1,False,True,"[0.7333, 0.3642, 1.0, 0.9444]","[0.7333, 0.3642, 1.0, 0.9444]","{""x_max"":1.0,""x_min"":0.7333,""y_max"":0.9444,""y_min"":0.3642}"
trained_sample_56,top right corner,1,False,True,"[0.774, 0.0312, 1.0, 0.2745]","[0.774, 0.0312, 1.0, 0.2745]","{""x_max"":1.0,""x_min"":0.774,""y_max"":0.2745,""y_min"":0.0312}"
trained_sample_57,Shirt in upper right corner,1,False,True,"[0.7739, 0.0319, 1.0, 0.2149]","[0.7739, 0.0319, 1.0, 0.2149]","{""x_max"":1.0,""x_min"":0.7739,""y_max"":0.2149,""y_min"":0.0319}"
trained_sample_58,woman,1,False,True,"[0.2373, 0.2022, 0.5373, 0.814]","[0.2373, 0.2022, 0.5373, 0.814]","{""x_max"":0.5373,""x_min"":0.2373,""y_max"":0.814,""y_min"":0.2022}"
trained_sample_59,guy texting,1,False,True,"[0.7233, 0.2749, 0.9316, 0.7574]","[0.7233, 0.2749, 0.9316, 0.7574]","{""x_max"":0.9316,""x_min"":0.7233,""y_max"":0.7574,""y_min"":0.2749}"
trained_sample_60,front whit,1,False,True,"[0.3573, 0.444, 0.6502, 0.8046]","[0.3573, 0.444, 0.6502, 0.8046]","{""x_max"":0.6502,""x_min"":0.3573,""y_max"":0.8046,""y_min"":0.444}"
trained_sample_61,man in light blue,1,False,True,"[0.7849, 0.4176, 0.9372, 0.9084]","[0.7849, 0.4176, 0.9372, 0.9084]","{""x_max"":0.9372,""x_min"":0.7849,""y_max"":0.9084,""y_min"":0.4176}"
trained_sample_62,white motorcycle on bottom right,1,False,True,"[0.6773, 0.622, 0.9956, 0.956]","[0.6773, 0.622, 0.9956, 0.956]","{""x_max"":0.9956,""x_min"":0.6773,""y_max"":0.956,""y_min"":0.622}"
trained_sample_63,sandwich on left,1,False,True,"[0.0, 0.0026, 0.4595, 0.6702]","[0.0, 0.0026, 0.4595, 0.6702]","{""x_max"":0.4595,""x_min"":0.0,""y_max"":0.6702,""y_min"":0.0026}"
trained_sample_64,catcher,1,False,True,"[0.8066, 0.4642, 1.0, 0.9719]","[0.8066, 0.4642, 1.0, 0.9719]","{""x_max"":1.0,""x_min"":0.8066,""y_max"":0.9719,""y_min"":0.4642}"
trained_sample_65,giraffe on right,1,False,True,"[0.6473, 0.2042, 0.7472, 0.9516]","[0.6473, 0.2042, 0.7472, 0.9516]","{""x_max"":0.7472,""x_min"":0.6473,""y_max"":0.9516,""y_min"":0.2042}"
trained_sample_66,middle tray. 2nd closest donut,1,False,True,"[0.272, 0.2272, 0.692, 0.5546]","[0.272, 0.2272, 0.692, 0.5546]","{""x_max"":0.692,""x_min"":0.272,""y_max"":0.5546,""y_min"":0.2272}"
trained_sample_67,right elephant,1,False,True,"[0.5343, 0.2589, 0.7515, 0.7539]","[0.5343, 0.2589, 0.7515, 0.7539]","{""x_max"":0.7515,""x_min"":0.5343,""y_max"":0.7539,""y_min"":0.2589}"
trained_sample_68,baseball player,1,False,True,"[0.2078, 0.2449, 0.5098, 0.9516]","[0.2078, 0.2449, 0.5098, 0.9516]","{""x_max"":0.5098,""x_min"":0.2078,""y_max"":0.9516,""y_min"":0.2449}"
trained_sample_69,girl in the middle in blue jacket,1,False,True,"[0.3673, 0.4392, 0.4872, 0.9016]","[0.3673, 0.4392, 0.4872, 0.9016]","{""x_max"":0.4872,""x_min"":0.3673,""y_max"":0.9016,""y_min"":0.4392}"
trained_sample_70,man,1,False,True,"[0.2402, 0.1866, 0.677, 0.9888]","[0.2402, 0.1866, 0.677, 0.9888]","{""x_max"":0.677,""x_min"":0.2402,""y_max"":0.9888,""y_min"":0.1866}"
trained_sample_71,Blue coveralls,1,False,True,"[0.7875, 0.4177, 0.9375, 0.9095]","[0.7875, 0.4177, 0.9375, 0.9095]","{""x_max"":0.9375,""x_min"":0.7875,""y_max"":0.9095,""y_min"":0.4177}"
trained_sample_72,right elep,1,False,True,"[0.4494, 0.2448, 0.9322, 0.8194]","[0.4494, 0.2448, 0.9322, 0.8194]","{""x_max"":0.9322,""x_min"":0.4494,""y_max"":0.8194,""y_min"":0.2448}"
trained_sample_73,elephant on left,1,False,True,"[0.0125, 0.022, 0.497, 0.9619]","[0.0125, 0.022, 0.497, 0.9619]","{""x_max"":0.497,""x_min"":0.0125,""y_max"":0.9619,""y_min"":0.022}"
trained_sample_74,blue sofa towards back,1,False,True,"[0.0345, 0.3206, 0.5102, 0.5993]","[0.0345, 0.3206, 0.5102, 0.5993]","{""x_max"":0.5102,""x_min"":0.0345,""y_max"":0.5993,""y_min"":0.3206}"
trained_sample_75,stripped shirt,1,False,True,"[0.682, 0.0066, 1.0, 0.9889]","[0.682, 0.0066, 1.0, 0.9889]","{""x_max"":1.0,""x_min"":0.682,""y_max"":0.9889,""y_min"":0.0066}"
trained_sample_76,batter,1,False,True,"[0.3378, 0.4006, 0.7092, 0.8444]","[0.3378, 0.4006, 0.7092, 0.8444]","{""x_max"":0.7092,""x_min"":0.3378,""y_max"":0.8444,""y_min"":0.4006}"
trained_sample_77,elephant on left,1,False,True,"[0.0303, 0.0422, 0.4575, 0.8515]","[0.0303, 0.0422, 0.4575, 0.8515]","{""x_max"":0.4575,""x_min"":0.0303,""y_max"":0.8515,""y_min"":0.0422}"
trained_sample_78,girl,1,False,True,"[0.2373, 0.2022, 0.5393, 0.814]","[0.2373, 0.2022, 0.5393, 0.814]","{""x_max"":0.5393,""x_min"":0.2373,""y_max"":0.814,""y_min"":0.2022}"
trained_sample_79,left big elephant,1,False,True,"[0.0306, 0.042, 0.4555, 0.8506]","[0.0306, 0.042, 0.4555, 0.8506]","{""x_max"":0.4555,""x_min"":0.0306,""y_max"":0.8506,""y_min"":0.042}"
trained_sample_80,Guy standing on rt,1,False,True,"[0.7273, 0.2809, 0.9316, 0.7572]","[0.7273, 0.2809, 0.9316, 0.7572]","{""x_max"":0.9316,""x_min"":0.7273,""y_max"":0.7572,""y_min"":0.2809}"
trained_sample_81,38,1,False,True,"[0.0885, 0.162, 0.444, 0.8588]","[0.0885, 0.162, 0.444, 0.8588]","{""x_max"":0.444,""x_min"":0.0885,""y_max"":0.8588,""y_min"":0.162}"
trained_sample_82,cup of coffee,1,False,True,"[0.5773, 0.0342, 0.892, 0.3129]","[0.5773, 0.0342, 0.892, 0.3129]","{""x_max"":0.892,""x_min"":0.5773,""y_max"":0.3129,""y_min"":0.0342}"
trained_sample_83,"couch at upper left with blue seats, white pillows",1,False,True,"[0.0345, 0.3206, 0.5102, 0.5993]","[0.0345, 0.3206, 0.5102, 0.5993]","{""x_max"":0.5102,""x_min"":0.0345,""y_max"":0.5993,""y_min"":0.3206}"
trained_sample_84,number 19,1,False,True,"[0.2076, 0.2472, 0.5099, 0.9516]","[0.2076, 0.2472, 0.5099, 0.9516]","{""x_max"":0.5099,""x_min"":0.2076,""y_max"":0.9516,""y_min"":0.2472}"
trained_sample_85,guy holding cup,1,False,True,"[0.424, 0.0, 0.687, 0.7255]","[0.424, 0.0, 0.687, 0.7255]","{""x_max"":0.687,""x_min"":0.424,""y_max"":0.7255,""y_min"":0.0}"
trained_sample_86,cow at the back,1,False,True,"[0.0, 0.2145, 0.8255, 1.0]","[0.0, 0.2145, 0.8255, 1.0]","{""x_max"":0.8255,""x_min"":0.0,""y_max"":1.0,""y_min"":0.2145}"
trained_sample_87,kid in back with green frizbee,1,False,True,"[0.2088, 0.2342, 0.5192, 0.8289]","[0.2088, 0.2342, 0.5192, 0.8289]","{""x_max"":0.5192,""x_min"":0.2088,""y_max"":0.8289,""y_min"":0.2342}"
trained_sample_88,kblack laptop,1,False,True,"[0.0315, 0.311, 0.632, 0.9661]","[0.0315, 0.311, 0.632, 0.9661]","{""x_max"":0.632,""x_min"":0.0315,""y_max"":0.9661,""y_min"":0.311}"
trained_sample_89,right giraffe,1,False,True,"[0.6473, 0.2022, 0.7502, 0.9519]","[0.6473, 0.2022, 0.7502, 0.9519]","{""x_max"":0.7502,""x_min"":0.6473,""y_max"":0.9519,""y_min"":0.2022}"
trained_sample_90,red shirt,1,False,True,"[0.084, 0.162, 0.447, 0.8589]","[0.084, 0.162, 0.447, 0.8589]","{""x_max"":0.447,""x_min"":0.084,""y_max"":0.8589,""y_min"":0.162}"
trained_sample_91,man,1,False,True,"[0.4473, 0.0026, 0.6502, 0.6506]","[0.4473, 0.0026, 0.6502, 0.6506]","{""x_max"":0.6502,""x_min"":0.4473,""y_max"":0.6506,""y_min"":0.0026}"
trained_sample_92,the man in pink with blue cup,1,False,True,"[0.424, 0.0, 0.687, 0.6759]","[0.424, 0.0, 0.687, 0.6759]","{""x_max"":0.687,""x_min"":0.424,""y_max"":0.6759,""y_min"":0.0}"
trained_sample_93,foremost person,1,False,True,"[0.0865, 0.2042, 0.6809, 0.9848]","[0.0865, 0.2042, 0.6809, 0.9848]","{""x_max"":0.6809,""x_min"":0.0865,""y_max"":0.9848,""y_min"":0.2042}"
trained_sample_94,BLUE COUCH IN BACK,1,False,True,"[0.0345, 0.3206, 0.5102, 0.5993]","[0.0345, 0.3206, 0.5102, 0.5993]","{""x_max"":0.5102,""x_min"":0.0345,""y_max"":0.5993,""y_min"":0.3206}"
trained_sample_95,girl on the phone in the front,1,False,True,"[0.2146, 0.4849, 0.687, 1.0]","[0.2146, 0.4849, 0.687, 1.0]","{""x_max"":0.687,""x_min"":0.2146,""y_max"":1.0,""y_min"":0.4849}"
trained_sample_96,black laptop,1,False,True,"[0.0315, 0.311, 0.632, 0.9661]","[0.0315, 0.311, 0.632, 0.9661]","{""x_max"":0.632,""x_min"":0.0315,""y_max"":0.9661,""y_min"":0.311}"
trained_sample_97,The coffee mug,1,False,True,"[0.5773, 0.0347, 0.892, 0.3129]","[0.5773, 0.0347, 0.892, 0.3129]","{""x_max"":0.892,""x_min"":0.5773,""y_max"":0.3129,""y_min"":0.0347}"
trained_sample_98,person upper right corner,1,False,True,"[0.773, 0.0322, 1.0, 0.224]","[0.773, 0.0322, 1.0, 0.224]","{""x_max"":1.0,""x_min"":0.773,""y_max"":0.224,""y_min"":0.0322}"
trained_sample_99,catcher,1,False,True,"[0.8066, 0.4642, 1.0, 0.9719]","[0.8066, 0.4642, 1.0, 0.9719]","{""x_max"":1.0,""x_min"":0.8066,""y_max"":0.9719,""y_min"":0.4642}"
